Character,Reading
㚹,mǎo liǔ
㚻,jī
㚽,qiǎo
㚾,xiōng
㚿,páo
㛁,pēng
㛂,nuǒ
㛃,jié
㛄,yī
㛅,èr
㛆,duò duǒ
㛍,qiè xiǎn xiá
㛎,lǚ
㛏,qiú
㛒,dòu
㛓,xī
㛔,fēng péng
㛕,yì è
㛖,suō
㛗,qiē zuō suō
㛘,pò
㛙,xīn qiè
㛚,tǒng yǒng
㛜,yóu
㛝,bèi
㛞,lòng
㛥,tà
㛦,lǎn
㛧,mǎn
㛨,qiǎng
㛩,zhóu
㛪,yàn yān
㛫,xī
㛬,lù
㛭,xī
㛯,fàn miǎn zhuàn
㛱,wěi wēi
㛳,yì
㛵,chēng
㛶,tàn
㛷,jī
㛹,pián
㛺,ān
㛻,kuā
㛼,chā shà
㛾,xián
㜂,fēng
㜃,liàn
㜄,xún
㜅,xù
㜆,mì
㜇,huì yè
㜈,mù
㜉,yōng
㜊,zhǎn
㜋,yì
㜌,nǒu gòu kòu
㜍,táng
㜎,xī xì
㜐,shù
㜒,yì
㜓,dá
㜕,lián
㜖,cáo
㜗,cān sēn
㜘,jù qù chá
㜙,lù
㜚,sù
㜝,ǎn yǎn
㜞,qiàn cán
㜠,cuī
㜡,cōng
㜣,rán rǎn
㜤,niǎn tiǎn tán
㜥,mái
㜦,xín
㜨,nái
㜩,ào
㜪,shēn
㜮,làn lán
㜯,xī
㜰,yuè
㜱,zhì
㜳,huái
㜴,mèng
㜷,mí xiǎn
㜹,qú
㜺,zàn
㜿,xù
㝀,hào
㝁,xuān qióng
㝂,zhì zhè
㝃,miǎn
㝅,gòu
㝋,liǎo
㝌,jiù
㝏,jiè
㝓,kè
㝔,yǎo
㝗,láng lǎng
㝘,yóng
㝚,yán
㝝,lín
㝞,yā yà
㝣,yì
㝤,gòu
㝩,kāng
㝪,diàn
㝫,lóng
㝭,xǐng
㝮,cuì
㝰,mián
㝵,dé ài
㝸,biàn
㝺,lián
㝼,yū
㝾,zuǒ
㞀,huī
㞁,yào
㞂,tuǐ tuì
㞃,jì
㞄,ān
㞅,luò
㞆,jǐ
㞇,wěi
㞈,bō
㞉,zā
㞊,xù
㞋,niǎn jí
㞎,bǎ pā
㞏,zhé jié
㞒,xiè xì
㞓,qì jī
㞖,cí cì
㞗,qiú
㞘,dū
㞚,qì zhǎ
㞛,jǐ
㞜,tuī
㞞,sóng
㞟,diàn dǐng
㞤,yín cén
㞥,cén
㞦,jǐ
㞨,zǐ
㞪,náo
㞬,qìn
㞭,dài
㞰,xǔ
㞱,cōng
㞲,yòng
㞳,dǒu
㞴,chí mín
㞷,huáng
㞻,hào
㞽,xuè
㟀,lián
㟂,mǔ
㟃,sī
㟄,xiáng
㟅,yáng
㟇,cuò cuó
㟈,qiú
㟉,láo
㟊,fú
㟋,duì
㟌,máng
㟍,láng lǎng
㟎,tuǒ tuǐ
㟏,hán
㟐,mǎng
㟑,bó
㟒,qūn
㟓,qí
㟖,lòng lóng
㟘,tiáo
㟙,zé
㟛,zàn
㟢,qí
㟤,lù
㟨,duān
㟪,wēi wěi
㟬,sǒu
㟮,tū
㟰,mǐng
㟱,yǎo
㟳,lì
㟶,yuán
㟷,da
㟹,láo
㟻,qiàn zhǎn
㟽,biǎo biāo
㟾,yōng
㟿,mǎng máng
㠂,áo
㠄,xí
