Character,Reading
俀,yowai
俁,ookii
係,kakaru tsunagari kakawaru
促,unagasu semaru
俄,niwaka
俅,itadaku
俆,yuruyaka osoi
俇,awatadashiisama
俉,mukaeru au
俊,sugureru
俋,tagayasu
俌,tasuke
俍,samayou
俎,manaita
俏,niru katadoru mimetoisama
俐,kashikoi
俑,itamu
俒,matsutashi kegasu
俓,isogu wagi nahoi katai
俔,ukagau
俗,narawashi
俘,toriko
俙,utsutaeru kobihetsurau honoka
俚,iyashii
俛,fuseru
俜,tsukau otokodate
保,tamotsu yasunjiru
俞,shikari
俟,matsu
俠,otokodate kyan
信,makoto tayori makaseru
俢,osameru osamaru
俣,mata
俤,omokage
俥,kuruma
修,osameru
俯,fuseru
俰,yawaragu
俱,tomoni
俲,narau
俳,wazaogi
俴,asai hadaka
俵,tawara
俶,yoi hajime
俷,yabureru yaburu somuku
俸,fuchi
俺,ore
俼,kayu hisagu
俽,yorokobu
俾,shimu
俿,katatagai
倀,kuruu taoreru
倁,yuku
倂,awaseru narabu shikashi
倃,soshiru
倄,motoru sokonau
倅,segare
倆,takumi
倇,tanoshimu yorokobu susumeru
倉,kura
倊,kurushimu
個,ko
倌,toneri
倍,somuku masu
倎,atsui
倏,tachimachi
們,tomogara
倒,taoreru taosu sakasama
倓,yasui shizuka
倔,tsuyoi
倕,omoi
倖,saiwai
倗,tasukeru yudaneru yoseru
倘,moshi tachimotohoru
候,sourou ukagau saburau
倚,yoru tanomu
倛,azamuku
倜,sugureru oroka somuku
倝,kagayaku
倞,tsuyoi akiraka tooi motomeru kisohu
借,kariru kari tatoi
倠,minikui
倡,wazaogi
倢,satoi sukoyaka hayai tsugusoshiru
倣,narau
値,ne atai au
倥,nukaru
倦,tsukareru umu
倨,ogoru
倩,utsukushii tsuratsura
倪,kiwa
倫,tagui tsuide michi
倬,ookii akiraka takai
倭,shitagau yamato
倮,hadaka semai katanugu suhada
倯,okotaru nonoshiru
倰,okasu agimuku nagai
倲,orokanasama
倳,sasu sashikomu
倶,tomoni
倷,nanji
倹,tsuzumayaka
倻,ya
值,ne atai au
偀,hanabusa
偁,ageru
偂,susumu
偃,fuseru yasumu
偄,yowai
偅,kodomo
偆,atsui ugomeku
假,kari
偈,ikou
偉,erai
偊,kugumarusama tsutsushimusama
偌,konoyouna konoyouni
偍,yuruyaka
偎,honoka najimu shitashimu chikayoru
偏,katayoru hitoeni
偐,itsuwaru nise
偒,matsusugu
偓,kakaharusama
偕,tomoni
偖,sate
偗,matsusugunasama
偙,sugureru
做,tsukuru nasu
偛,warugashikoi
停,todomaru
偝,suteru somuku
偞,karui mimeyoisama iyashii osu osahetsukeru utsukushii
偟,tatazumu samayohu tachimotohoru itoma
偠,shinayaka taoyaka
偡,sorotsutesusumu totonotsutasama
偢,itsukushimanai ureherusama
偣,kiyoi
偤,haberu
健,sukoyaka takeshi shitataka
偦,tooru
偧,haru
偨,sorowanai
偩,yorikatadoru tanomu
偪,semaru mukabaki
偫,matsu sonaeru sonawaru
偬,kurushimu sewashii awatadashii
偭,mukau somuku kanau
偯,nageku
偰,kiyoi
偱,noberu
偲,shinobu shinobi
偳,chihisai sukoshi
側,kawa katawara sobameru
偵,ukagau
偶,tagui tamatama
偷,nusumu
偸,nusumu
偹,sonaeru sonawaru sonae
偽,itsuwaru nise itsuwari
傀,ookii
傁,okina
傂,katatagahi hitoshikunai
傃,mukau mamoru
傄,sukoyakanasama
傅,mori tsuku kashizuku
傆,kozakashii
傇,ooi
傊,masaru yutaka
傋,hetsurahanu oroka
傌,nonoshiru
傍,katawara sou
傎,sakasama kuruhu
傏,ogoru
傑,sugureru
傒,ayahui tsunagu
傓,sakan
傔,shitagau haberu tsukaeru
傖,iyashii iyashiimono runakamono
傘,kasa
備,sonaeru sonawaru sonae
傚,narau
傛,kagamu
傜,huzoroi edachi tsukai
傟,motoru
傠,somuku utsu
傡,nami naraberu narabu narabini
傢,kagu
傪,yoi yoisama
催,moyoosu unagasu moyooshi
傭,yatou atai hitoshii
傮,owaru meguru
傯,kurushimu
傰,tomo tomogara omonerikumisuru
傱,hayaisama
傲,ogoru anadoru
傳,tsutaeru
傴,kagamu semushi
債,kari
傶,chikai
傷,kizu itamu
傸,warui
傹,tsuyoi taosu
傺,tomaru todomaru
傽,odoroku
傾,katamuku katamukeru kutsugaesu
傿,kakeneosuru
僀,kurushimu
僁,koe umeku
僂,kagamu
僃,sonaeru sonawaru
僄,karui karonzuru subayai
僅,wazukani wazuka
僆,hutago oyobu ohitsuku
僇,haji hazukashimeru
僈,yurui karonzuru anadoru
僉,mina kotogotoku tomoni
僊,yamabito sennin
僋,nobirusama orokanasama
僌,osameru
働,hataraku hataraki
僎,sonaeru kazu kazoeru
像,katachi katadoru
僐,otsukurisuru
僑,takai
僓,narau miyabiyaka shitagahu
僔,atsumaru ooi uyauyashii
僕,shimobe yatsugare
僖,yorokobu
僘,hiroi
僙,takedakeshiisama
僚,tomo tsukasa
僜,agaru
僝,sonaeru nonoshiru arawasu
僞,itsuwaru nise itsuwari
僟,yokutsutsushimu chikai
僢,somuku mukaiau majiru
僣,ogoru
僤,hayai atsui akiraka yurugu
僥,negau motomeru
僦,kariru okuru atsumaru
僧,bouzu
僨,taoreru ochiru yaburu
僩,takedakeshiisama
僪,kuruu kurui
僬,hashiru
僭,ogoru
僮,warabe shimobe
僯,hajiru
僱,yatou
僵,taoreru
僶,tsutomeru
僸,aogu
價,atai
僺,nagaisama
僻,higamu
僽,nonoshiru
僾,honoka kakureru musebu kanashimu
僿,usui makotoganai
儀,yoi nori
儁,sugureru
儂,washi
儃,tatazumu yausu hoshiimama
億,oshihakaru
儅,owaru tomaru atarimaederui
儆,imashimeru
儇,kashikoi agimuku toi matohu
儈,nakagai
儉,tsuzumayaka
儊,shiburu
儋,ninau nitai kogame
儌,yuku ukagau motomeru itsuwaru
儎,noseru
儐,susumeru uyamau aisatsu
儑,osatsukanai oroka tawaregoto
儒,yawaraka uruosu shitagau
儓,kerai minikui ataru
儔,tomogara
儕,tomogara
儖,minikui
儗,nazoraeru kuraberu
儘,kotogotoku mama
儙,hiraku
儚,kurai hakanai
儛,mau mawasu
儜,nayamu yowai
儝,matsu
償,tsugunau tsugunai
儡,yabureru tsukareru
儢,tsutomenaisama
儤,tonoru
儥,iru kamu miru
儦,sakannasama
儧,atsumeru atsumaru
儨,tadashii
儩,tsukusu tsukiru
優,yasashii sugureru wazaogi
儭,itaru chikai osoreru ura shiku
儯,mugai
儰,ochitsukanu
儱,desaagaranai uyamuya
儲,soe takuwaeru moukeru
儳,totonohanu hayai waruisama
儴,yoru samayou
儵,hayai
儷,tsureai narabu
儸,sabaku
儹,atsumeru atsumaru
儺,oniyarai
儻,sugureru moshi aruiwa
儼,ogosoka ikameshii
儽,okotaru yamitsukareru
儿,hito ninnyou
兀,takai hageru ashikiru
允,makoto yurusu jou
兂,kanzashi
元,moto koube
兄,ani e
充,ateru michiru mitasu
兆,kizasu uranai kizashi
兇,osoreru
先,saki sakinjiru mazu
光,hikaru hikari
兊,yorokobu
克,katsu yoi yoku
兌,yorokobu
免,manukareru yurusu
兎,usagi
兏,nagai osa
児,ko
兑,yorokobu
兒,ko
兓,surudoi tasukeru
兔,usagi
兗,kukuru tadashii makoto
兘,hajimeru hajimaru
党,nakama mura
兜,kabuto
兟,susumu
兢,osoreru tsutsushimu
兤,akarui
入,iru hairu
兦,horobiru nai
內,uchi iru ireru
全,mattaku mattai mattousuru
兩,futatsu
兪,shikari
八,yatsu yatabi
公,ooyake kimi
六,mutsu mutabi
兮,no
共,tomo tomoni domo
兵,tsuwamono ikusa
其,sono sore
具,sonaeru sonae tsubusani
典,nori tsukasadoru sakan
兹,shigeru masu mushiro
兼,kaneru kanete
兾,koinegau
冀,koinegau koinegawa
冂,tooi
冃,zukin oou
冄,ayaui
内,uchi iru ireru
円,marui maru
冉,yowai
冊,fumi
冋,enagamae dougamae keigamae
册,fumi
再,futatabi
冎,wakeru
冏,akiraka
冐,okasu oou kouburu
冑,kabuto yoroi
冒,okasu oou
冓,kamaeru
冕,kanmuri
冖,oou
冗,muda
冘,okotaru tamerahu utagahu
写,utsusu utsushi
冝,yoroshii
冞,masumasu
冠,kanmuri
冡,oou
冢,tsuka oka yashiro
冣,tsuma
冤,kagamu nureginu
冥,kurai
冦,ada
冨,tomu
冩,utsusu kakiutsusu
冪,ooi fukin
冫,koori
冬,fuyu
冭,nameraka
冰,koori hi
冱,kooru hieru saeru
冲,oki waku
决,kimeru saku
冴,kooru hieru saeru
况,iwanya omomuki
冶,iru
冷,hieru tsumetai sameru
冸,tokeru
冺,horobiru
冼,samui
冽,samui tsumetai
冾,yawaragu
冿,susumu
凄,samui susamajii sugoi
凅,kooru
准,nazoraeru
凇,tsurara
凈,hiyayakanasama
凉,suzushii
凊,samui suzushii
凋,shibomu ochibureru
凌,shinogu
凍,kooru kogoeru
减,heru herasu
凑,minato atsumaru
凒,samui
凓,samuisama
凔,samui hiyayakanasama
凕,koorusama
凖,hitoshii mizumori nori
凙,tsurara
凛,samui susamajii osoreru
凜,samui susamajii osoreru
凝,koru korasu
凞,yawaragu
几,tsukue
凡,subete oyoso
凢,subete oyoso
凣,subete oyoso
凥,oru
処,oru tokoro
凧,tako
凨,kaze
凩,kogarashi
凪,nagu nagi
凭,yoru motareru
凮,kaze
凰,ootori
凱,kachidoki yawaragu
凳,hizakakenotagui
凵,kannyou kangamae
凶,warui
凷,tsuchikure
凸,deru
凹,kubomu kubomi
出,deru dasu
函,ireru hako
凾,ireru hako
刀,katana
刂,ritsutou
刃,ha yaiba kiru
刄,ha
刅,kezushikeru
分,wakeru wakaru wakareru
切,kiru kire kiri
刈,karu kari
刉,tatsu
刊,kezuru kizamu
刋,kiru
刌,kiru tatsu saku
刎,kubihaneru
刏,tatsu sasu korosu
刐,saku
刑,nori shioki
划,saosasu kama saku
刓,kezuru tatsu eru suriheru
刔,eguru
刕,saku
刖,kiru ayahui
列,tsuraneru
刘,korosu
刜,utsu tatsu saru
初,hajime hatsu ui
刟,tatsu
删,kezuru
刡,kezuru
刢,saku
判,wakeru
別,wakareru wakeru wakare
刦,oiyakasu
刧,obyakasu
刨,kezuru
利,kiku yoi surudoi
刪,kezuru
别,wakareru wakeru wakare
刬,kezuru tairanisuru
刮,kezuru
到,itaru
刱,hajimeru kizutsuku
刲,sasu saku eguru korosu
刳,eguru
刴,kiru
刵,mimikiri
制,osaeru
刷,suru haku hake
券,warifu tegata
刹,hatabashira tera kuni
刺,sasu soshiru toge
刻,kizamu kizami toki
剁,kiru
剃,soru
剄,kubikiru
剅,saku sakeru
剆,utsu
則,nori nottoru sunawachi
剉,kujiku kadootoru
削,kezuru
剋,katsu
剌,motoru
前,mae susumu
剎,hatabashira tera kuni
剏,hajimeru
剒,kirimigaku
剔,eguru soru
剕,ashikiru
剖,waru
剗,kezuru tairanisuru
剘,makoto tadasu saku
剙,kizu hajimeru
剚,sasu sashikomu oku
剛,tsuyoi kowai
剜,kezuru eguru
剝,hagu muku hageru
剞,kizamu
剟,kezuru sakitoru sogu utsu
剠,irezumi kasumetoru
剡,surudoi sorudokusuru kezuru
剢,kiru
剣,tsurugi
剤,soroeru mazeru
剥,hagu muku hageru
剦,oou
剩,amaru amari amatsusae
剪,kiru
剫,wakeru tojiru
剬,tatsu sabaku
剭,tsumisuru
剮,saku
副,sou soe
剰,amaru amari amatsusae
剱,tsurugi
割,waru saku wareru
剳,kagi kama sasu
剴,kiru kosuru
創,kizu hajimeru
剷,kezuru
剸,kiru saku tatsu hoshiimama
剹,kezuru
剺,hagu kiru
剼,karu tatsu
剽,obyakasu
剿,tatsu toru
劀,kezuru
劁,tatsu karu karitoru
劂,kezuru
劃,wakatsu
劄,sasu kagi kama
劆,kama
劇,hageshii
劈,saku tsunzaku
劉,korosu
劊,tatsu
劋,tatsu kiru tayasu wakajinisuru
劌,sokonau saku hari toge ahu
劍,tsurugi
劎,tsurugi
劐,saku
劑,soroeru
劒,tsurugi
劓,hanakiru hanakiri saku
劔,tsurugi
劕,warifu shichi
劖,tatsu kezuru
劗,herisu kiru
劘,kezuru suru wakeru
劙,toku wakeru waru
劚,kiru
力,chikara tsutomeru rikimu
劜,tsuyoi
功,isao
加,kuwaeru kuwawaru kuwaete
劣,otoru
劤,chikari
劥,tsuyoi
劦,niwaka gatotonou
劧,katai
助,tasukeru suke
努,tsutomeru yume
劫,obiyakasu
劬,tsukareru
劭,tsutomeru
劮,midara tawamureru tanoshimu
劯,tsuyoi
劰,tsutomeru
励,hagemu hagemasu
労,tsukareru negirau itawaru
劵,tsukaru
劶,tsutomeru
劷,susumeru
劸,semaru
効,kiku narau itasu
劺,susumehagemasu
劻,awateru
劼,tsutsushimu katai tsutomeru
劽,gaaru
劾,sabaku shirabega tsutomeru
勀,tsutomeru katsu
勁,tsuyoi
勃,niwakani okoru
勄,satoi
勅,imashimeru mikotonori
勆,tsutoi
勇,isamashii isamu
勈,isamu
勉,tsutomeru
勌,tsutomeru umu
勍,tsuyoi
勏,tsutomeru
勑,itawaru tadasu osameru
勒,kutsuwa
勓,tsutomeru
勔,tsutomeru susumeru
動,ugoku ugokasu ugoki
勖,tsutomeru
勗,tsutomeru tsutome
勘,kangaeru
務,tsutomeru tsutome
勚,itatsuki tsukare tsukareru
勛,isao
勜,tsutoi
勝,katsu masaru taeru
勞,negirau tsukareru itawaru
募,tsunoru
勠,awaseru
勡,kasumeru
勢,ikioi
勣,isao
勤,tsutomeru tsutome
勥,semaru tsutomeru
勦,tsukareru tsukusu
勧,susumeru
勨,yuruyaka ugoku
勩,itatsuki tsukareru
勪,susumu
勫,sukoyaka
勬,tsutomeru sukoyaka
勰,kanau au
勱,tsutomeru
勲,isao
勳,isao
勴,tasukeru
勵,hagemu
勶,hanatsu torisaru
勷,hashiru
勸,susumeru
勹,tsutsumu
勺,shaku
勻,sukunai hitoshii
勼,atsumeru atsumaru
勽,tsutsumu
勾,nozoku magaru kagi
勿,nashi nakare
匀,sukunai hitoshii
匁,monme
匂,niou nioi
匃,kou ataeru
匄,motomeru
