Character,Reading
啌,shikaru
啍,iki
啎,sakarau au hureru
問,tou ton
啐,odoroku yobu sakebu shikaru
啒,ureeru ureerusama
啓,hiraku mousu
啕,oshaberi
啖,kuu kurawasu
啗,kuu kurawasu
啙,yugamu kore kono
啚,oshimu
啛,nameru
啜,susuru
啝,shitagau
啞,oshi
啟,hiraku mousu
啠,satoi
啡,ibiki tsuba
啣,kutsuwa kutsubami fukumu
啥,nani nanzo
啮,kajiru kami
啴,aegu yorokobu ooi sakan
啻,tada
啼,naku
啽,ibiki tojiru
啾,naku
啿,yutaka
喀,haku
喁,agitou
喂,nageku
喃,nou
善,yoi
喇,monoiu
喉,nodo
喊,sakebu
喋,shaberu tsuibamu
喎,yugamu
喏,hai
喑,oshi sakebu atsurusama
喒,ware
喓,koe
喘,aegu seki
喙,kuchibashi
喚,yobu
喛,ikidooru ureeru
喜,yorokobu yorokobi
喝,shikaru
喞,kakotsu
喟,tameiki
喢,oshiyaberi
喣,iro arawashishimesu
喤,nakigoe
喥,shikaru
喦,oshaberi
喧,kamabisushi
喨,hogaraka
喩,satosu satoru tatoeru
喪,mo ushinau horobiru
喫,kuu nomu
喬,takai
喭,tomurau torimidasu
單,hitoe
喰,kuu kui
喳,sawagu
営,itonamu itonami
喻,satosu satoru tatoeru
喿,sawagu kashimashii suki
嗀,haku hakusama
嗁,naku
嗂,yorokobu tanoshimu
嗃,kibishiisama koe semerusama
嗄,kareru
嗅,kagu
嗆,tsuibamu museru tsumaru
嗇,oshimu yabusaka
嗋,odosu
嗌,nodo
嗍,suhu
嗑,oshiyaberi ahu nomu kataru
嗒,nameru
嗓,nodo
嗔,ikaru
嗕,awaremu
嗘,koe
嗙,utau
嗚,au
嗛,hukumu uramu herikudaru
嗜,tashinamu tashinami
嗝,shakuri
嗞,nageku warahu
嗟,au nageku
嗢,musebu nomu
嗣,tsugu
嗤,warau
嗧,garon
嗷,kamabisushi
嗺,nageku
嗻,saegiru
嗼,shizuka sadamaru yasuraka
嗽,suu kuchisusugu
嗾,sosonokasu
嗿,koe
嘁,nageku hazaru
嘂,sakeru
嘄,sakebu
嘅,nageku
嘆,nageku nageki
嘈,kamabisushii
嘉,yomisuru yoi
嘊,igamu
嘌,hayai yureru midareru
嘍,urusaisaama midareru
嘏,saiwai
嘑,sakebu naku yobu
嘔,utau haku
嘕,tanoshimu
嘖,sakebu
嘗,nameru kokoromiru katte
嘘,fuku uso
嘠,nakigoe
嘨,usobuku mogubuku
嘩,kamabisushi yakamashii
嘫,kotaeru
嘬,kamu musaboru
嘭,koe
嘮,kamabisushii sakebu koe
嘯,usobuku
嘱,tanomu
嘲,azakeru
嘳,awaremu soshiru tameikisuru
嘴,kuchibashi
嘵,osoreru
嘶,inanaku
嘷,hoeru sakebu
嘸,sazo
嘻,imashime yaharagu aa warahu
嘼,yashinau
嘽,aegu yorokobu ooi sakan
嘾,hukumu musaboru
嘿,shizuka damaru agimuku
噁,okoru
噂,uwasa
噃,koe
噅,minikui soshiru
噆,hukumu kamu
噇,taberu
噈,koe kurau yawaraka
噉,kurau kurawasu
噊,ayahui
噋,tataku
噌,kamabisushi
噍,kamu
噎,musebu
噏,suu
噐,utsuwa
噓,fuku uso
噕,minikui soshiru
噙,hukumu
噚,eibiro
噛,kajiru kami
噞,agitou hageshii
噡,urusakushaberu
噢,umeku
噣,kusabashi tsuibamu
噤,tsugumu
噥,sasayaku
噦,shakuri akarui
器,utsuwa
噩,ogosokanasama odoroku
噪,sawagu
噫,au okubi
噬,kamu
噭,hoeru sakebu yobu naku
噯,iki
噰,mutsubu musebu
噲,nodo susuru kokoroyoi akarui
噴,fuku haku
噵,michi
噸,ton
噺,hanashi
嚁,koe
嚂,musaboru tashinamu shikaru koe
嚃,susuru kamanai
嚄,wameku aa
嚅,yakamashii
嚆,sakebu
嚇,odosu
嚊,hanaiki kaka aegi
嚋,tare norou
嚌,nameru
嚍,ikidooru
嚏,kusame kushami
嚐,nameru
嚔,kushami
嚕,kataru hetsurau
嚘,musebu nageku
嚙,kajiru kami
嚚,warui oroka tsurenai
嚜,itsuwaru itsuwari
嚝,sakebu
嚠,kiyoi
嚢,fukuro
嚥,nomu nodo
嚨,nodo
嚩,noroi
嚪,kurau kurawasu
嚫,hodokosu
嚬,hisomeru
嚭,ookii
嚮,mukau sakini
嚱,koe aa
嚳,tsugeru
嚴,kibishii ogosoka
嚵,susuru kuchi kuchibashi
嚶,naku
嚷,wameku donaru
嚻,kamabisushi yakamashii
嚼,kamu
嚾,yobu wameku kamabisushii
囀,saezuru
囁,sasayaku
囂,kamabisushi
囃,hayashi hayasu
囈,negoto
囉,koe
囊,fukuro
囋,koe
囌,yokushaberu
囏,katashi nayami
囐,koe tadasu
囑,tanomu
囓,kamu
囗,kakomu kuni
囘,mawasu
囙,yoru
囚,toraeru
四,yotsu yotabi
囜,kashikoi
囝,kodomo
回,mawasu mawaru kaeru
囟,hiyomeki
因,yoru chinamu yotte
団,marui katamari
囤,zaru
囥,kura
囦,huchi
囧,akiraka
囪,tenmado mado kemudashi
囫,matsutashi hatsukirishinai
囮,otori
困,komaru kurushimu
囱,tenmado mado kemudashi
囲,kakomu kakoi kakou muchi
図,hakaru e
囶,kuni
囷,kura
固,katameru katame katai
国,kuni
囿,sono
圀,kuni
圂,kawaya wazurawasu
圃,hatake
圄,hitoya
圅,ago hukumu
圈,kakoi
圉,hitoya umakai
圊,kawaya
國,kuni
圌,marui kago
圍,kakomu
圎,marui
圏,kakoi
圑,hatake niwa
園,sono
圓,marui
圖,hakaru
圗,hakaru egaaku e
團,marui katamari
圚,mon
圛,meguriyuku
圜,meguru marui
圝,marui
土,tsuchi
圠,kasuka
圢,tairaka
圣,tagayasu
圤,tsuchikure
圥,kinoko
圦,iri
圧,osaeru
在,aru imasu
圩,tsutsumi kishi kubomu
圬,kote nuru
圭,tama
圮,yaburu yabureru kutsugaesu kutsugaeru
圯,doburu
地,tsuchi
圳,mizo
圴,ato
圷,akutsu
圸,yama
圻,sakai
圽,umeru
圾,ayaui
圿,aka chiri
址,ato
坁,tomaru saka
坂,saka
坅,ana
坆,haka
均,totonoeru hitoshii
坉,husagu kizuku une husagaru
坊,machi heya tera
坋,chiri hurikakeru kakimazerutsutsumi
坌,chiri narabu atsumaru wakusama
坎,ana
坏,oka tsuki
坐,suwaru sozoroni owasu
坑,ana ananisuru
坒,kijihashi
坡,tsutsumi
坢,tahiraka chiri
坤,tsuchi hitsujisaru
坥,tsutsumi
坦,taira
坧,dodai
坨,kewashii
坩,tsubo
坪,tsubo
坫,sakai
坭,doro
坮,utena ware
坯,oka
坱,chiri
坳,kubomi
坵,oka
坺,chirinosama
坻,nakisa kizahashi saka niha tomaru
坼,sakeru wakareru hiraku sakeme
坿,tsukeru ikada
垀,kamahe wazurahai
垂,tareru tarasu nannantosu
垈,nuta numa
型,kata
垌,tsubo
垐,nikumu
垓,hate sakai
垔,husagu
垕,aka
垗,hauridokoro
垘,kuzureru nagareru
垙,chimata
垜,tsumikasareru
垝,yabureru dai
垠,sakai kishi
垡,tagayasu
垢,aka haji
垣,kaki
垤,arizuka
垨,mamooru mori kami
垩,hijiri
垪,ha
垬,nukari nukaru
垰,tao
垳,gake
垸,marobu
垺,kuruwa ohokii sakan tsuka
垻,tsutsumi
垽,ori meguru
埀,tareru tarasu nannantosu
埁,tsuchi
埂,ana tsutsumi aze
埃,chiri hokori
埆,kisou
埇,okitsuchi
埈,sobadatsu
埋,umeru uzumeru umaru
埌,tsuka
城,shiro kizuku
埏,hakamichi noboru yaharagerukoneru
埒,kakoi kaki
埓,kakoi
埕,bin
埖,gomi
埜,no
埝,shita masu ochi
埞,tsutsumi
域,sakai
埠,tsuka hatoba
埡,sato
埢,kuma
埣,karetsuchi
埤,masu ataheru tasukeru hikuihimegaki
埧,tsutsumi
埩,tagayasu
埭,seki
埯,ana
埰,tsuka
埱,hajime hajimaru
埲,chiri
埴,hani
埶,ueru waza ikihohi
執,toru toraeru
埸,sakahi aze
培,tsuchikau
基,motoi moto motozuku
埻,mato nori azuchi
埼,saki
埽,haku
埿,nuru kote nukarami
堀,hori horu ana
堁,oka chiri ajika
堂,takadono sumai
堃,chi hitsujisaru
堄,himegaki
堅,katai kataku
堆,uzutakai
堇,sumire
堈,kame oka
堊,shirotsuchi irotsuchi
堋,houmuru
堌,tsutsumi tsuka
堕,kuzusu kuzureru ochiru
堙,fusagu
堛,tsuchikure
堝,rutsubo
堞,himegaki
堟,une
堠,monomi
堡,toride
堤,tsutsumi
堥,kaharake
堧,sunatsuchi
堨,ruseki hokori
堩,michi
堪,taeru
堬,tsuka
堭,sotobori
堮,kishi
堯,takai
堰,seki seku
報,shiraseru mukuiru
堲,yakitsuchi moesashi nikumu asagu
堳,kaki
場,ba
堵,kaki
堹,tsutsumi kuro aze
堺,sakai
堻,uruhohi uruhou
塀,kaki
塁,toride rui
塈,nuru kazaru toru ikou
塉,yasetsuchi
塊,katamari tsuchikure
塋,haka
塍,aze kuro tsutsumi
塐,deku
塑,deku
塒,negura
塓,nuru
塔,tera oka
塕,chiri
塗,nuru doro mamireru
塘,tsutsumi
塙,katai hanawa
塚,tsuka
塛,husagaru
塜,hokorigatobu
塞,fusagu michiru toride
塟,houmuuru
塡,fusagu uzumeru
塢,toride mura
塣,tohoru
塤,tsuchibue
塧,kewashii
塩,shio
填,fusagu uzumeru
塰,ama
塲,ba
塴,haumuru
塵,chiri
塸,haka
塹,hori
塺,chiri
塻,chiri
塼,kahara
塾,monbeya manabiya
塿,tsuchi tsuka
墀,kizahashi su
墁,kote
境,sakai
墄,kida
墅,shimoyashiki
墆,takuhaheru takuhahe tomerutsutsumi
墇,husegu
墈,sakahi
墉,kaki kabe
墊,ochiiru oboreru nayamu
墋,tsuchi sunaji nigoru
墌,dodai
墍,nuru kazaru toru ikou
墏,motoru
墐,nuru nebatsuchi
墑,kizahashi mato
墓,haka
増,masu fueru fuyasu
墜,ochiru
增,masu fueru fuyasu
墟,ato
墡,shirotsuchi
墣,tsuikure
墥,arizuka
墦,tsuka
墨,sumi
墮,kuzure kuzusu ochiru
墱,kida
墳,haka
墹,mama
墺,kishi
墻,kaki
墽,suteru
墾,hiraku
墿,michi
壁,kabe
壂,kasu ori tono tachi yakata
壄,no
壅,fusagu
壇,ba tokoro taira
壊,kowasu yaburu kowareru
壌,tsuchi
壍,hori ana
壎,hachi wan
壑,tani
壒,tsuchikemuri
壓,osaeru
壔,toride tsuka oka tsutsumi
壕,hori
壖,akichi
壗,mama
壘,toride
壙,ana
壚,rurori
壛,chimata nedai koshikake
壜,bin
壝,dan rachi
壞,kowasu
壟,une tsuka
壡,akiraka
壢,ana
壣,oka
壤,tsuchi
壧,ana
壩,ruseki
士,samurai
壬,mizunoe
壮,sakan
壯,sakan
声,koe
壱,hitotsu
売,uru
壳,kara
壴,tateru
壷,tsubo
壸,heyanotsuro oku
壹,hitotsu
壺,tsubo
壻,muko
壼,heyanotsuro oku
壽,kotobuki hisashii kotoogu
壿,mau
夂,okureru
夃,moukeru uru shibaraku
夅,ooriru oorosu huuru
夆,sakarau hiku au atsui
変,kawaru kaeru
夊,suinyou
夋,ogoriiru uzukumaru
夌,shinogu sutareru
夎,itsuwaru
夏,natsu
夐,haruka tooi motomeru
夒,mezaru
夓,natsu
夕,yuu yuube
外,soto hoka hazusu
夗,korogariusu
夘,u
夙,tsutoni hayai
多,ooi masaru masani
夛,oushi masaru masani
夜,yo yoru
夝,hareru
夠,atsumaru ooi
夡,ooi
夢,yume kurai yumemiru
夣,yume
夤,tsutsushimiosoreru ookii nobiru
夥,obitada
大,ookii hajime ooini
夨,katamukeru
天,ame sora
太,futoi hanahada futoru
夫,otto otoko sore
夬,wakeru kimeru yugake
夭,wakai wazawai wakajini
央,nakaba
夯,katsugu ninau
夰,hanatsu
失,ushinau
夲,susumu
夵,susumu
夶,kuraaberu
夷,tairageru korosu ebisu
夸,ogoru
夾,hasamu
夿,ookii
奀,yaseru
奃,ookii
奄,oou tachimachi
奅,munashii mugeishi
奆,ookii
奇,kushi mezurashii ayashii
奈,karanashi
奉,tatematsuru
奌,bochi chobo ten
奎,mata
奏,kanaderu susumeru
奐,torikaeru ookii sakan
契,chigiru kizamu warifu
奒,tatematsuuru matsuru
奓,haru ogoru akeru
奔,hashiru
奕,ookii utsukushii nareru
套,kasaneru ooi
奘,sakan
奚,nanzo
奛,akiraka
奜,ookii
奝,ookii
奞,habataku
奠,matsuru sadameru
奡,anadoru tsuyoi
奢,ogoru
奣,akiraka
奥,oku kuma
奧,oku kuma
奨,susumeru
奩,kushige
奪,ubau
奫,izumi
奬,susumeru
奭,sakan ikarusama
奮,furuu
奯,ookii hirobiroto
奰,semaru ikaru
奱,yojiru
奲,ookii yuruyakade
女,onna me musume
奴,yakko yatsu me
奶,chichi hagukumu
奸,okasu
她,azaru
奻,iiarasou
奼,otome hokoru
好,konomu suku yoi
妁,nakoudo
如,gotoku shiku yuku
妃,kisaki
妄,midari midarini
妊,haramu
妋,musaborusama se seuto
妌,shizuka isagiyoi
妍,utsukushii
妎,netamu wazurawashii oou kiru
妏,umareru
妒,netamu sonemu tsumoru husagu
妓,wazaogi
妕,azana
妖,namameku
妗,utsukushii yorokobusama
妙,wakai tae
妝,yosoou
妟,yasuraka yasumeru
妠,metoru ireru toru
妣,nakihaha
妥,yasui odayaka
妦,mimeyoi
妧,mimeyoisama
妨,samatageru
妬,netamu
妭,mimeyoi tsuma
妮,hashitame yaharakakumatsuharu
妯,aiyome ugoku sawagu itamu
妰,shizuka
妳,haha
妴,taoyaka
妵,mimeyoisama
妷,mei
妹,imouto imo
妺,azana
妻,tsuma meawaseru
妾,mekake warawa
姁,haha tanoshimu tsuma utsukushii
姃,azana
姅,mimosagakizutsuku
姆,kashizuki uba
姇,yorokobu utsukushii
姈,azana
姉,ane
姊,ane haha
始,hajimeru hajime hajimaru
姍,mimeyoi soshiru minikui
姎,watakushi
姏,baba
姐,ane anego
姑,shuutome oba shibaraku
姒,ane
姓,kabane
委,yudaneru sue kuwashii
姗,mimeyoi soshiru minikui
姙,haramu
姚,utsukushii
姜,tsuyoi
姝,utsukushii
姞,tsutsushimu
姡,atsukamashii warugashikoi
姢,adeyaka shinayaka kobiru utsukushii
姣,mimeyoi utsukushii isagiyoi
姤,au mimeyoi minikui
姥,uba baba
姦,midara kashimashii
姧,kashimashii
姨,oba
姪,mei oi
姫,hime
姬,hime
姭,mimeyoisama
姯,mimeyoi
姱,ogorusama mimeyoi utsukushii
姲,azana
姳,mimeyoi
姴,utsukushii
姶,shizuka ai
姷,taguu narabu
姸,utsukushii
姹,hokoru otome
姻,totsugu
姼,taoyame karogaroshii mimetoi
姽,shitoyakanisusumusama
姿,sugata
威,odosu takeshi
娃,utsukushii
娄,tsunagu hiku
娉,tou
娌,aiyome
娍,suraritoshitemimeyoi
娎,kokochiyoi yorokobu
娑,mau
娒,uba
娓,sunao shitagau utsukushii
娕,tsutsushimu yoi totonoeru
娖,tsutsumu yoi osaeru unagasu
娗,suraritoshitemimeyoi
娘,musume
娙,suraritoshitemimeyoi hashitaame
娚,meoto
娛,tanoshimu
娜,shinayaka omomuro
娞,adeyaka yasuraka
娟,adeyaka shinayaka kobiru
娠,haramu
娣,imouto oba
娤,yosoou
娥,mimeyoi
娧,mimeyoi yorokobu
娨,gouman
娩,umu
娪,onna
娬,kobiru
娭,tahomureru hashitame
娯,tanoshimu
娰,ane
娵,yome
娶,metoru
娸,minikui
娼,asobime
娾,yorokobu mimeyoi
娿,sadamaranai shinayakanasama
婀,taoyaka
婁,munashii arai osameru
婂,ben men
婄,oroka minikui
婅,azana
婆,baba
婇,uneme
婈,azana
婉,utsukushii
婍,mimeyoi
婐,taoyaka haberu
婑,haberu
婓,samayou
婕,mimeyoi
婗,midorigo akagononakigoe
婘,mimeyoi yakari
婚,engumi
婜,utsukushii
婞,motoru matsusugu
婟,koishitau oshimu yoi
婠,shinayoi mimeyoisama
婢,hashitame
婤,mimeyoisama
婥,mimeyoi
婦,yome onna
婧,ateyakanasama shinayaka
婩,totonou mimeyoi mutsutsurisuru
婪,musaboru
婬,tawakeru midari
婭,aimuko koshimoto
婳,shitoyaka mimeyoi
婷,utsukushii
婸,midara tawamurerusama wawa
婻,utsukushii
婽,mimeyoi
婾,warugashikoi nusumu gomakasu
婿,muko
媄,mimeyoi
媋,utsukushii
媌,mimeyoi
媐,tsuma tanoshimu
媒,nakoudo
媓,haha
媔,netamu
媙,utsukushii
媚,kobiru
媛,hime
媜,azana
媞,tsumabiraka warugashikoi haha
媟,kegasu kegareru nareru anadoru
媠,mimeyoi okotaru mimeyoisama
媢,netamu niramu
媦,imouto
媪,ouna
媭,ane
媮,warugashikoi nusumu gomakasu
媰,haramu mimeyoi yamome
媱,mimeyoi tahamureru
媲,tsureahi
媳,yome
媵,okuru tsukisohi okurime okuribito
媷,okotaru
媸,anadoru oroka minikui midaru
媺,yoi utsukushii
媻,ogoru mekake yoromeku
媼,ouna
媽,haha
媾,yoshimi
媿,hajiru hazukashimeru togameru
嫁,totsugu yome
嫂,anyome
嫆,azana
嫇,ozuozutosuru
嫈,mimeyoisama minikui mimeyoisugata
嫉,netamu nikumu
嫋,taoyaka shinayaka
嫌,kirau utagau
嫐,naburu
嫕,shitoyaka sunaho
嫖,karui
嫗,ouna atatameru
嫙,mimeyoi
嫚,anadoru kegasu okotaru ogoru
嫛,midorigo sunaho
嫜,shiuto shiutome
嫟,midara
嫠,yamome
嫡,yotsugi
嫢,akiraka shinayaka taoyaka
嫥,motsupara totonoheru
嫨,ikaru tsutsushimu
嫩,wakai
嫪,kohishitahu nayamu
嫫,shikome
嫭,otome mimeyoisama netamu
嫮,otome mimeyoisama hokoru
嫳,okoru karuisama
嫴,makaseru shibaraku hakaru suuberu
嫵,kobiru mimeyoi
嫶,yatsureru
嫷,mimeyoi utsukushii
嫸,hazukashimeru katakuna
嫹,mimeyoisama
嫺,miyabiyaka
嫻,miyabiyaka
嫽,tawamureru mimeyoi tawareru midareru satoi
嫿,shitoyaka mimeyoi
嬀,warugashikoi
嬁,utsukushii
嬃,ane
嬈,wazuruwashii nayamu
嬉,tanoshimu ureshii
嬋,hikitsunaga miuchi
嬌,namamekashii
嬐,subayai tsutsushimusama
嬖,kiniiri
嬗,yurui
嬙,sobame
嬛,katai
嬝,taoyaka
嬠,musaboru
嬢,musume
嬣,karadanosama shizuka
嬥,yoi adeyaka torikaeru
嬪,hime
嬬,yowai sobame tsuma
嬭,haha hagukumu ane
嬮,mimeyoi
嬯,nibui
嬰,fureru midorigo
嬲,naburu
嬶,kaka kakau
嬼,yamome namamekashii
嬽,mimeyoi
嬾,okotaru monoui
孀,yamome
孁,onnanoazana me
孃,musume
孅,kayowai
孈,orokadeshinaotsukuru
孋,mata azana
孌,shitau sunao mimeyoi
孎,tsutsushimu
子,ko mi otoko
孑,hitori
孒,hidarinoudeganai mijikai
孔,ana hanahada
孕,haramu
孖,hutago
字,aza umu masu
存,tamotsu aru tou
孚,tamago hagukumu
孜,tsutomeru
孟,kashira hajime
季,sue toki
孤,minashigo hitori
孥,tsumako
学,manabu
孨,tsutsushimu yowai minashigo
孩,chinomigo
孫,mago
孯,katai
孰,tare izure
孱,yowai
孲,akago
孳,umu shigeru
孵,kaesu
孶,umu shigeru
孷,hutago
學,manabu
孺,chinomigo osanai
孼,wakibara hikobae wazahahi
孽,wakibara
孾,midorigo
孿,hutago
宀,yane ie
宁,takuwaeru
它,hebi
宄,midare mikoshima
宅,ie sumau yake
宆,sora
宇,noki ie
守,mamoru mori mamori
安,yasui yasunjiru izukunso
宊,tsuuku
宋,sumai oru
完,mattai mattousuru
宍,shishi
宏,hiroi
宐,miroshii mube
宑,uchiido
宓,yasuraka
宕,sugiru
宖,yasuraka
宗,mune tattobu
官,tsukasa ooyake
宙,sora
定,sadameru sadamaru sadame
宛,atakamo ate zutsu
宜,yoroshii mube
宝,takara
実,mi minoru michiru
客,maroudo
宣,noru notamau
室,muro heya
宥,yurusu nadameru
宦,tsukaeru manabu
宨,hoshiimama
宫,miya ie
宬,kura
宭,mureiru
宮,miya ie
宯,kigaagarinusu
宰,tsukasadoru tsukasa
宱,hiroi
宲,shimaikomu
害,sokonau wazawai nanzo
宴,utage tanoshimu
宵,yoi
家,ie ya uchi
宷,tsumabiraka tsubusani
宸,noki
容,ireru yurusu katachi
宺,hiroi
宻,shigeshi hisoka hisokani
宼,ada
宿,yadoru yado
寀,chigyousho tsukasa
寁,sumiyaka
寂,sabishii sabi
寃,kagamu nureginu
寄,yoru yoseru yose
寅,tora
密,shigeshi hisoka hisokani
寇,adasuru ada
寉,tsuru
富,tomu tomi
寍,mushiro
寎,obieru osowareru neiru
寏,gururitomegurashitakaki
寐,neru
寑,husu neru okuzashiki
寒,samui samusa
寓,yoru yoseru kakotsukeru
寔,makotoni
寕,yasui mushiro nanzo
寖,hitasu sosogu tsumu tsumoru
寗,negai
寘,oku ireru tomeru sukoru
寙,monoui umu namakeru okotaru
寚,takara
寛,hiroi yuruyaka kutsurogu
寜,yasui mushiro nanzo
寝,neru mitamaya yameru
寞,sabishii
察,shiru miru akiraka
寠,mazushii yatsureru chihisai
寡,yamome sukunai
寢,neru
寣,obieru mezameru
寤,sameru
寥,sabishii
實,mi minoru
寧,yasui mushiro nanzo
寨,toride
審,tsumabiraka
寫,utsusu
寬,hiroi yuruyaka kutsurogu
寮,tsukasa
寯,atsumeru atsumaru sugureru
寱,negoto odoroku
寲,akirakanisuru
寳,takara
寴,shitashii shitashiku
寵,megumi megumu
寶,takara
寸,hakaru toki ki
对,mukau narabu aite
寺,tera
寽,toru tsumamu
対,mukau narabu aite
寿,kotobuki hisashii kotohogu
尀,dekinu
封,sakai tojiru pondo
専,moppara
尃,shiku amaneshi moto harau
射,iru ateru sasu
尅,katsu
将,hikiiru motte masani
將,hikiiru motte hata
專,moppara
尉,osaeru yasunjiru
尊,tattoi toutoi tattobu
尋,tazuneru hiro tsune
尌,tateru tatsu waraha shimobe
對,mukau narabu aite
導,michibiku michibiki
小,chiisai ko o
尐,sukunai chihisai
少,sukunai sukoshi shibaraku
尒,shikari wakeru nanji chikai
尓,nanji sono shikari
尔,nanji sono shikari
尖,togaru surudoi
尗,mame
尚,kuwaeru tattobu negau
尞,kagaribi
尟,sukunai
尠,sukunai
尢,ashinae semushi
尣,mageashi
尤,togameru toga mottomo
尥,yukinayamu
尦,yukinayamu
尨,mukuinu
尩,ashinae sunenomagatsutahito
尪,magaru yowai
尫,magaru yowai
尬,ashinae
尭,takai
尮,ashinae semushi
尯,umu chinba ashinae
就,tsuku
尵,umagayamu
尸,shikabane katashiro
尹,osa tadasu
尺,monosashi
尻,shiri
尼,ama
尽,tsukusu tsukiru kotogotoku
尾,o
尿,ibari
局,tsubone shikiru
屁,he
屃,neiki ibiki
居,iru oru oku
屆,todokeru todoku todoke
屇,ana
屈,kagamu kagameru
届,todokeru todoku todoke
屋,ya yane
屍,shikabane
屎,kuso
屏,shirizoku oou
屐,hakimono
屑,isagyoi kuzu
屓,neiki ibiki
展,tsuraneru noberu nobiru
屖,yasumu katai
屚,moru
屛,shirizoku oou
屜,kutsushiki shikiwara
属,yakara tsuku sakan
屠,hofuru
屡,shibashiba
屢,shibashiba
屣,zouri
層,kasanaru kasa
履,haku kutsu fumu
屧,shikiwara kutsushiki
屨,kutsu
屩,itogutsu kutsushiki shikiwara
屬,yakara tsuku sakan
屭,sakan kibishii
屮,hidari hidarite
屯,tamurosuru tamuro
屰,sakarau
山,yama
屴,sobierusama
屵,kishigataka aogo
屶,nata
屹,sobadatsu
岀,deru dasu
岇,yamanotakiisama
岈,kodama
岌,takai
岏,kehashii takai
岐,edamichi
岑,mine
岔,machigau kuichigau
岟,humoto
岡,oka
岣,itadaki
岥,kuzurerusama
岨,ishama soba
岩,iwa
岪,yamamichi
岫,kuki mine
岬,misaki
岮,kuzurerusama
岱,kawariau hajime
岳,take
岴,kewashii
岵,yama
岶,shigeru
岸,kishi
岼,yuri
岾,yama
峅,kura
峙,sobadatsu
峛,sakamichi
峜,kazoheru
峝,ebisu
峠,touge
峡,hazama
峣,kewashii
峨,takane ikameshii
峩,kewashii
峪,tani
峭,kewashii kibishii
峮,tsuranaru
峯,mine
峰,mine
峲,yamanonarabusama
峴,kewashii
島,shima
峺,saegiru
峻,takai kewashii
峽,hazama
崁,ku bomi
崄,kewashii
崇,takai agameru tattobu
崎,saki kewashii
崒,kewashii
崔,majiwaru
崕,gake
崖,gake
崗,oka
崛,sobadatsu
崟,mine
崧,sobadatsu
崩,kuzureru kuzusu
崫,sobadatsu
崽,kodomo
崿,gake kishi
嵂,kewashii
嵃,kehashii kehashiisama
嵌,ana
嵎,kuma
嵐,arashi
嵑,sobieru ishibumi
嵒,iwa sobieru
嵙,yamashina
嵜,kewashii saki
嵟,takai
嵠,tani
嵡,yamanosama
嵤,yamanofukaisama
嵩,takai kasa
嵪,katai yasetekataitsuchi
嵬,takai
嵭,kuzureru
嵯,kewashii takai
嵰,yamanotakuisama
嵳,kewashii takai
嵶,tao
嵺,takai
嶁,itadaki
嶂,mine
嶃,kewashii
嶄,kewashii
嶇,kewashii
嶋,shima
嶌,shima
嶔,kewashiisama
嶝,sakamichi
嶟,sobadatsu
嶢,kewashii
嶧,tsuranaru
嶫,takai
嶬,kewashii
嶮,kewashii
嶰,tani
嶲,meguri
嶴,oku kuma
嶷,satoi
嶸,kewashii
嶹,shima
嶺,mine
嶼,shima
嶽,take
巃,kewashii
巇,kewashii
巋,tsuranaru
巌,kewashii iwao
巍,takai
巐,yamanosama
巒,mine
巓,itadaki
巔,itadaki
巖,kewashii iwao iwa
巘,mine
巛,kawa
川,kawa
州,su shima
巡,meguru
巣,su sukuu
巤,tategami moto
工,takumi waza tsukasa
左,hidari motoru tasukeru
巧,takumi satoi
巨,ookii
巫,miko kannagi
差,sasu tagau tagai
己,onore tsuchinoto
已,sudeni yamu nomi
巳,mi
巴,tomoe
巵,sakazuki
巷,chimata
巸,hiroiago ookii
巹,shitagau nobiru sakazuru
巺,tatsumi yuzuru
巻,maku
巽,tatsumi
巾,fukin ooi haba
巿,hizakake
帀,meguru megurasu meguri
市,ichi
布,nuno shiku
帆,ho
帇,tewazagasubayai
帋,kami
希,mare koinegau
帍,hire
帑,kanegura
帒,fukuro
帔,hukuro
帕,tsutsumu
帖,kakimono
帘,sakebata
帙,fumaki
帚,houki
帛,kinu
帝,mikado
帟,hiratobari
帠,nori
帡,oou
帣,hukuro
帥,hikiiru sotsu
带,obi obiru
帨,tehuki
帩,hachimaki zukin
師,miyako ikusa osa
帬,eriate hakama
席,mushiro seki
帮,tasukeru
帯,obi obiru
帰,kaeru totsugu okuru
帲,oou
帳,tobari hari
帴,eriate munakake mutsuki
帵,tachiamarinokire
帶,obi obiru meguru
帷,tobari
常,tsune toko tsuneni
帽,boushi
帾,hata hatajirushi wataire
幀,kakemono
幁,zukin
幂,oou ooinuno
幃,tobari nioibuku fukuro
幄,tobari
幅,haba
幇,tasukeru
幉,tazuna
幊,nuno
幋,atamanokazari
幌,horo
幎,tobari
幐,nioibukuro fukuro
幑,mejirushinonuno hata
幔,maku
幕,oou
幖,shirushi hata noori
幗,kamikazari
幘,zukin
幚,tasukeru
幛,nuno
幜,kinu kazuki
幞,zukin
幟,nobori
幠,ohohi ohohu
幡,hata
幢,hata
幣,nusa takara zeni
幦,urushinurinonuno
幧,zukin hachimaki
幨,tobari horo tachikireru
幩,kutsuwanokazari
幪,hukusa
幫,tasukeru
幬,tobari
幭,ohohi
幮,tobari kaya
幯,nuguhu
幰,horo
幱,nagaikoromo
干,hosu hiru okasu
平,taira hira hiratai
年,toshi minoru yowai
幵,tairaka
