"Character","Reading"
"勞","láo"
"勢","shì,shi"
"勤","qín"
"勵","lì"
"勸","quàn"
"勻","yún"
"勾","goū"
"匀","yún"
"包","bāo"
"匆","cōng"
"化","huà"
"北","běi"
"匙","shi"
"匠","jiang,jiàng"
"匪","fěi"
"匯","huì"
"匹","pǐ"
"区","qū"
"医","yī"
"匾","biǎn"
"區","qū"
"十","shí"
"千","qiān"
"升","shēng"
"午","wǔ,wu"
"半","bàn"
"华","huá"
"协","xié"
"卑","bēi"
"協","xié"
"单","dān"
"卖","mài,mai"
"南","nán"
"博","bó"
"卜","bo"
"占","zhàn"
"卡","kǎ"
"卧","wò"
"卫","wèi"
"印","yìn"
"危","wēi"
"即","jí"
"却","què"
"卵","luǎn"
"卷","juǎn,juàn"
"卸","xiè"
"卻","què"
"厂","chǎng"
"厅","tīng"
"历","lì"
"厉","lì"
"压","yā"
"厌","yàn"
"厕","cè"
"厘","lí"
"厚","hoù"
"原","yuán"
"厢","xiāng"
"厦","shà"
"厨","chú"
"厭","yàn"
"厲","lì"
"去","qù"
"县","xiàn"
"参","cān,shēn"
"參","cān,shēn"
"又","yoù"
"及","jí"
"友","you,yoǔ"
"双","shuāng"
"反","fǎn"
"发","fā,fa,fà"
"叔","shū,shu"
"取","qǔ"
"受","shoù"
"变","biàn"
"叙","xù"
"叛","pàn"
"叠","dié"
"叢","cóng"
"口","koǔ,kou"
"古","gǔ"
"句","jù"
"另","lìng"
"只","zhǐ,zhī"
"叫","jiào"
"召","zhào"
"叭","ba"
"叮","dīng"
"可","kě"
"台","tái"
"史","shǐ"
"右","yoù"
"叶","yè"
"号","hào,hao,háo"
"司","sī"
"叹","tàn"
"叼","diāo"
"吁","xū,yù"
"吃","chī"
"各","gè"
"吆","yāo"
"合","hé"
"吉","jí"
"吊","diào"
"同","tóng,tong,tòng"
"名","míng"
"后","hoù"
"吐","tǔ,tù"
"向","xiàng"
"吓","xià"
"吗","ma,má"
"君","jūn"
"吞","tūn"
"吟","yín"
"否","foǔ"
"吧","ba"
"吨","dūn"
"吩","fēn"
"含","hán"
"听","tīng,ting"
"吭","kēng"
"启","qǐ"
"吵","chǎo"
"吶","ne,nà"
"吸","xī"
"吹","chuī"
"吻","wěn"
"吼","hoǔ"
"呀","ya,yā"
"呃","è"
"呆","dāi"
"呈","chéng"
"告","gào"
"呐","ne,nà"
"呗","bei"
"员","yuán"
"呜","wū"
"呢","ne,ní"
"周","zhoū"
"味","wèi"
"呵","ā,hē"
"呸","pēi"
"呻","shēn"
"呼","hū,hu"
"命","mìng"
"咀","jǔ"
"咂","zā"
"咆","páo"
"咋","zǎ"
"和","hé,huo,he,hè"
"咐","fu"
"咒","zhoù"
"咕","gu"
"咖","kā"
"咙","lóng"
